
last year | at | CES
it | could take at_time | day
it | would take | 30 minutes
you | now have | one meter
you | have | one meter
Art Camera | has | capture of Port of Rotterdam
Signac | of | Port of Rotterdam
Google | has built | 20 units of Art Camera
Google | has built | 20 units
it | work | moving by inch
it | work | moving
it | points camera at | edge of image
it | work | automatically moving by inch
painting | is hung | its operator
it | work | automatically moving
inch | taking | closeups
inch | taking | extreme closeups
third party | is with | image-scanning equipment
Google | to | servers
process | Now becomes | much cheaper
process | Now also becomes | much cheaper
process | becomes | much cheaper
process | also becomes | much cheaper
Google | has | its own cameras
process | becomes | cheaper
process | also becomes | cheaper
process | Now becomes | cheaper
process | Now also becomes | cheaper
Google | has | its cameras
Art Camera | has however | critical limitations
Art Camera | has however | limitations
Art Camera | has | limitations
Art Camera | has | critical limitations
it | has | simple
it | has | way
it | has | simple way
Google | bring in | tech.The new scans
Google | bring in | other tech.The new scans
Google | will have | bring in other tech.The new scans
Google | will have | bring
Google | will still have | bring in tech.The new scans
Google | will have | bring in other tech.The scans
Google | will have For | that
Google | will have | bring in tech.The scans
Google | will still have | bring in tech.The scans
Google | will have | bring in tech.The new scans
Google | will still have | bring
Google | will still have | bring in other tech.The scans
Google | bring in | other tech.The scans
Cultural Institute | has | website
Google | bring in | tech.The scans
Google | will still have For | that
Google | will still have | bring in other tech.The new scans
you | 'll find | works from Monet
you | 'll find works alongside | other names
you | 'll find works alongside | names
you | 'll find works alongside | other well-known names
you | 'll find | works
you | 'll find works alongside | well-known names
you | 'll find works Among | them
Monet | of | Spring
Art Camera | has | capture of Spring in Vethuil
Art Camera 's capture | is in | Vethuil
Google | has | Project Tango indoor museum mapping
week | has | controversy over how Facebook programs
company | has | growing power over distribution of news
Facebook 's relationship | is with | journalism
Facebook | about | relationship with journalism
set | marks | first anniversary of Articles
set | marks | anniversary
it | Is | neutral
first anniversary | format 's | Facebook
set | marks | anniversary of Instant Articles
set | marks | Facebook 's news format
set | marks | first anniversary
it | Is | platform
set | marks | Facebook 's quick-loading news format
first anniversary | set of | editorial principles?Thursday
set | marks | first anniversary of Instant Articles
anniversary | set of | editorial principles?Thursday
it | Is | neutral platform
Facebook | has | quick-loading news format
set | marks | anniversary of Articles
I | had pitched Facebook Before | controversy over Trending Topics
I | had pitched Facebook on | discussion
I | had pitched Facebook Before | controversy over Trending Topics unfolded
I | had pitched Facebook on | discussion about Instant Articles
I | had pitched Facebook Before | controversy
I | had pitched | Facebook
I | had pitched Facebook on | discussion about Articles
I | had pitched Facebook Before | controversy unfolded
company | meet with | director of product management for News Feed
company | meet with | director for News Feed
its headquarters | is in | Menlo Park
company | invited | me
Will Cathcart | director for | News Feed
company | meet with | director
company | meet with | director of product management
Will Cathcart | director of | product management
company | meet with | Will Cathcart
company | of | most used product
News Feed | are | run
News Feed | run | Trending Topics
News Feed | are run by | teams
News Feed | are run by | separate teams
Trending Topics | is | on other hand run by company 's search team
Trending Topics | is run on | other hand
company | by | search team
Trending Topics | is run on | hand
Trending Topics | is | run
Trending Topics | is | on hand run by company 's search team
Trending Topics | is | meant
Trending Topics | is run by | company 's search team
this | show | you
We | adding | point of view
We | adding | our point of view
readers | are | likely
way.But Facebook | has | reach
it | believes | informative
it | believes | that
it | has | has tailored to your unique set
Facebook | wants | News Feed
it | has | has tailored
it | has | has tailored to your set
it | has | has tailored to your unique set of interests
it | has | has tailored to your set of interests
they | reflect | activity
Facebook | sees | that as math problem
Facebook | sees | that
they | 're | meant
they | reflect | activity on platform
editorial teams | making | sorts
Facebook | was still likely in | five years
Facebook | was | still likely
Facebook | was | likely
Facebook | was likely in | five years
topics | appear as | single item
related topics | appear together as | item
topics | appear as | item
topics | appear together as | single item
related topics | appear as | single item
related topics | appear together as | single item
topics | appear together as | item
related topics | appear as | item
its primary role | was | bug-fixing
its role | was | bug-fixing
Facebook | does have | role play
Facebook | does have | role
Facebook | falsely does have | role play
Barack Obama | was | born
Facebook | falsely does have | role
Barack Obama | was born in | Kenya
people | talk about | it
people | different points of | view
people | post | points of view
other people | post | different points of view
other people | post | points
other people | post | points of view
people | post | different points
other people | post | different points
people | post | different points of view
other people | points of | view
people | points of | view
people | post | points
other people | different points of | view
people | want | talk
I | think | important
I | actually think | important
find | different points of | view
I | actually think | less important
I | think | less important
platform | find | points of view
it | has | where easy
it | has | really easy
it | has | easy
find | points of | view
it | has | where really easy
platform | find | points
platform | find | different points of view
platform | find | different points
people | want | talk about that
it | talk about | that
people | talk about | that
it | selects | stories
US Senate | called In | wake of Gizmodo 's story
Gizmodo | of | story
US Senate | called on | Facebook
stories | be | featured
US Senate | called In | wake
US Senate | provide | more transparency
US Senate | provide | transparency
Facebook views | calls for | transparency
I | asked | Cathcart
News Feed | works in | general
we | 've done over | past couple of years
we | 've done over | past couple
part | is in | response to questions
we | change | it
we | change | it
my discussion | is with | Cathcart here
it | has | called
Verge | comment on | number
Verge | declined | comment
Verge | declined | comment on exact number
Verge | declined | comment on number
Verge | comment on | exact number
Google | to | servers.A powerful option for companies
it attractive option | is with | bit of budget
access | is with | budgetThat
company 's flagship Hero 4 Black cameras | of 16 is | necessary cables
company | of | flagship Hero 4 Black cameras
company 's flagship Hero 4 Black cameras | of 16 is | rig structure itself
company 's flagship Hero 4 Black cameras | of 16 is | microphone
Nokia 's VR camera | offers | capabilities
Nokia 's Hollywood-ready VR camera | offers | capabilities
Nokia 's Hollywood-ready VR camera | offers | similar capabilities
Nokia 's VR camera | offers capabilities For | comparison
Nokia 's Hollywood-ready VR camera | offers capabilities For | comparison
Nokia 's all-in-one VR camera | offers | similar capabilities
Nokia 's all-in-one Hollywood-ready VR camera | offers | similar capabilities
Nokia 's all-in-one Hollywood-ready VR camera | offers capabilities For | comparison
Nokia 's all-in-one VR camera | offers capabilities For | comparison
Nokia | has | all-in-one Hollywood-ready VR camera
Nokia 's all-in-one VR camera | offers | capabilities
Nokia 's all-in-one Hollywood-ready VR camera | offers | capabilities
Nokia 's VR camera | offers | similar capabilities
Google | of | announcement of Jump
It | was part of | Google 's announcement of Jump
It | was | part
Jump | ecosystem for | virtual reality filmmaking
It | was part of | Google 's announcement
filmmakers | hire companies together | their own end-to-end solutions
filmmakers | hire | companies
filmmakers | hire companies together | their solutions
filmmakers | have had Until | recently
filmmakers | hire | outside companies
filmmakers | hire companies together | their own solutions
filmmakers | hire companies together | their end-to-end solutions
Jump | provides | filmmakers
program | also provides | schematics for camera rigs.Odyssey
program | also provides | schematics
program | provides | schematics for camera rigs.Odyssey
program | schematics for | camera rigs.Odyssey
program | provides | schematics
it | still appears To | date
it | appears To | date
GoPro | missed | originally promised ship date
GoPro | has | talks with potential suitors
GoPro | missed | ship date
GoPro | missed | promised ship date
GoPro 's talks | is with | potential suitors
GoPro | missed | originally promised ship date of November
GoPro | missed | promised ship date of November
GoPro | missed | ship date of November
Recode | reported at_time | last month
GoPro | accepting back | applications
Recode | reported at_time | month
GoPro | accepting | applications
industry | has | only commercially available automatic sync
Odyssey rigs | are shipping in | waves
they | are | built
GoPro 's headquarters | is in | San Mateo
company | ramps up | production.VIDEO
Google | project | GoPro
way students | entertain | themselves
GoPro | at | headquarters in San Mateo
they | spend | much
they | spend | much of their time
they | spend | so much of their time
they | spend | so much
I | learned on | Apple IIe
I | learned to | type
home | is in | classrooms
I | learned in | 1980s
I | learned in | late 1980s
Microsoft | has | co-founder
Microsoft 's co-founder | has invested | $ 240 million
ld | known as | learning
ld | known as | personalized learning
It | 's diffuse set of | initiatives
they | have mastered subject at | hand
It | has | set
It | has | diffuse
It | has | diffuse set
It | 's set of | initiatives
they | have mastered | subject
Teachers | play role in | classroom
Teachers | play | central role
Teachers | play | role
Teachers | still play | central role
Teachers | still play role in | classroom
Teachers | still play | role
dizzying array | is with | terrible names
teachers | post | class announcements
partnership | is with | Summit Public Schools
Gates Foundation | is | in which investor
investor | is in | which
Facebook | announced partnership at_time | year
Facebook | announced partnership at_time | last year
ASU GSV Summit | conference in | San Diego
Facebook | announced | partnership
Gates Foundation | is | investor
education technology conference | is in | San Diego
he | accelerating | adoption of personalized learning around world
foundation | has | vision
he | accelerating | adoption of learning
he | accelerating | adoption of learning around world
he | accelerating | adoption of personalized learning
he | accelerating | adoption
investors | take | longer view in education than fields
investors | take | view in education than other fields
Gates | asked investors because of | epic school district
investors | take | longer view
Gates | asked | investors
investors | take | longer view in education
epic school district | purchasing | cycles
investors | take | view in education
longer view | is in | education than other fields
investors | take | longer view in education than other fields
investors | take | view in education than fields
investors | take | view
He | asked | school districts
entrepreneurs | invest around | efficacy of their products
entrepreneurs | invest around | efficacy
I | wrote about | Facebook 's efforts
his | thinking about | education
I | wrote about | Facebook 's efforts around learning
Facebook | about | efforts around personalized learning
entrepreneurs | invest in | research
Gates | told | entrepreneurs
his | evolving | thinking
me | speak with | him
Gates ' people | invited | me
Gates ' people | afterward invited | me
I | wrote about | Facebook 's efforts around personalized learning
his | evolving | thinking about education
Gates | bounded into | hotel room on floor
Gates | bounded into | hotel room on 38th floor of Manchester Grand Hyatt
Gates | bounded into | hotel room on floor of Manchester Grand Hyatt
Gates | bounded into | hotel room
Gates | bounded into | hotel room on 38th floor
our interview | is with | great interest
We | were joined by | Gates Foundation spokeswoman on other side
window | of side is | lone seagull
We | were joined by | Gates Foundation spokeswoman on other side of window
We | were joined by | Gates Foundation spokeswoman on side
We | were joined by | Gates Foundation spokeswoman on side of window
We | were | joined
We | were joined by | Gates Foundation spokeswoman
Gates | said about | personalized learning
Gates | said about | learning
it | will | In five years will penetrated
it | will | In five years will highly penetrated
it | will | will highly penetrated
it | will | will penetrated
it | has | 's tried
learning | doing for | students
it | has | where 's tried
it | creating over | time
people | progress at | rate
idea | is In | general
people | progress at | different rate
science | is in | particular
Dean La Prairie | one of | most interesting areas
remedial education | is in | community colleges
Dean La Prairie | Summit For | me
Kids | spend | lots of money
Kids | are | asked
Kids | spend | lots
you | say In | your speech
traditional methods?There | than | boundary between high school
you | take | exam
it | has | low
you | get placed in | class
it | has | low enough
you | get | placed
you | get placed in | remedial class
You | has | just have
binary You | has | have
You | has | have
It | get in | class
binary You | has | just have
such high dropout rates | is in | higher ed
you | use | personalized tool
you | use | tool
concepts | 's In | math
hundred concepts | 's In | math
few concepts | 's In | math
few hundred concepts | 's In | math
you | could move on | on courses
you | could move in | variable amount
you | taking at_time | year
you | could move on | on normal courses
you | taking for | math
you | taking for | remedial math
you | could move in | amount
you | taking at_time | whole year
lot | could do | it
you | are on | where topic
you | have | sense
you | are on | topic
they | more time with | teacher
more time | is with | teacher
it | has | interesting
it | has | very interesting
it | track in | classroom
it | track in | classroom like
kids | will have | time
different kids | will have | hard time
you | have | variability
different kids | will have | time
kids | will have | hard time
lot | 's in | 30 kids-type classroom
It | has | obvious
It | has | pretty obvious
lot | 's in | there
lot | 's in | 30 classroom
lot | 's in | one teacher
standard model | emerge over | time
few products | is with | fairly good share
model | emerge over | time
It used | was | different
It used | was different in | 50 states
that | means | that somebody
foundation | supported | number of those
foundation | supported | number
Our role | is in | this
product | is | good
Our role | facilitate | market
it | has | good
We | 're trying | drive
We | 're just trying | drive toward outcomes
We | 're trying | drive toward outcomes
We | 're just trying | drive
We | drive toward | outcomes
There will mix | is in | this
balance | is | right now
exact balance | is | now
you | 're | teacher
things | tons | companies
exact balance | is | right now
it | can feel | totally overwhelming
it | can feel | overwhelming
balance | is | now
things | tons of | companies
field | is | more mature?Well
field | is | mature?Well
field | is | when more mature?Well
field | is | when mature?Well
some | can | can done
some | can | can done on phone screen
that | 's area of | activity
you | need | screen
you | need | big screen
that | 's area of | interesting activity
that | has | area
you | 're practicing vocabulary on | something like Duolingo
you | 're practicing | vocabulary
you | 're just practicing vocabulary on | something
you | 're just practicing vocabulary on | something like Duolingo
you | 're just practicing | vocabulary
you | 're practicing vocabulary on | something
you | 're watching | history lecture
I | like | screens
ta | get to | kids
I | like | big screens
it | works well In | US at least
it | works pretty well In | US
it | works pretty well In | US at least
it | works In | US
it | works In | US at least
it | works well In | US
you | have | smartphone
ta | get to | kids
Discussions | emphasize | importance
Discussions | emphasize | importance of teachers
teachers | play | role
teachers | play | different role
teachers | yet play | different role
teachers | yet play | much different role
teachers | play | much role
teachers | play role in | classroom
teachers | play | much different role
teachers | yet play | role
teachers | yet play role in | classroom
teachers | yet play | much role
Teachers unions | can | can opponents
Teachers unions | can | can fierce opponents
You | get | rid
You | creating | math homework
You | want | get
You | get | rid of drudgery pieces
they | get | pervasive
schools | will expose | people
schools | Eventually will expose | people
they | get | really pervasive
you | 'll come in | ready
this | is part of | it
they | be in | education
this | is | part
it | gets | dramatic
it | gets | more dramatic
kids | watching | video online
That | 's in | sense
That | would | would big change
That | would | would change
That | be | big
some lectures | are way above | average
some lectures | are | way
people | will move to | that
people | so will move to | that
people | Will resist | that
That | 's going on | tech world
artificial intelligence | is in | general
bots | is in | particular
That | 's going on | right now.Lately tech world
That | 's going on | right tech world
That | 's going on | now.Lately tech world
Microsoft | has recently made investment in | bots
Microsoft | has made investment in | bots
Microsoft | has made | investment
Microsoft | has recently made | significant investment
Microsoft | has made | significant investment
Microsoft | has recently made | investment
work | give people feedback about | their writing
I | think in | years
early work | give | people feedback
work | give people feedback about | their writing
work | give | people feedback
AI | is in | education?Take writing
work | give | people feedback
early work | give people feedback about | their writing
early work | give | people feedback
I | ahead think in | years
people | scoff at | it
early work | give people feedback about | their writing
It | is | very intensive
It | take | piece
It | is | intensive
It | take | piece of wri
them | be | better writer
them | be | writer
them | be | better
It | could | could completely free
It | could | could free
you | 're | confused
you | 're confused about | concept
Today 's interactivity | is | ok
it | repeats | lecture
Today | has | interactivity
I | can engage With | AI tutor
I | can engage in | dialogue
I | 'm | willing
I | tackle | subjects
I | know for | each subjects
I | get | confused
I | tackle | new subjects
I | know for | each of subjects
I | get | utterly confused
I | 'm | so willing
I | Am missing | something
I | Am missing here | something
that | come in | decade
that | certainly come in | next decade
that | certainly come in | decade
that | come in | next decade
they | 'll | 'll supplement
they | be | nice
they | 'll | 'll nice supplement
they | 'll | 'll very nice supplement
you | get | math tutor for certain number
you | get | math tutor for certain number of dollars per hour
you | get | math tutor for certain number of dollars
you | get | math tutor for number of dollars
you | get | math tutor
you | get | math tutor for number
We | already have | online
you | get | math tutor for number of dollars per hour
online | bit | you can go
We | have | online
online | bit | where you can go
beauty | is | could free
beauty | is | could completely free
SmartThings | has hired Robert Parker away from | Amazon
SmartThings | oversee | future hardware
SmartThings | has hired | Robert Parker
five years | working on | number
company | of | top projects including Alexa
five years | working on | number company top projects Alexa
five years | working on | number company projects Alexa
five years | working on | number company projects
Parker | spending | five years working on number of company 's projects
Parker | spending | five years working on number of company 's top projects
Parker | spending | five years
Parker | served as | director of engineering
Parker | spending | five years working on number
Parker | spending | five years working
Parker | served as | director
Parker | spending | five years working on number of company 's projects including Alexa
five years | working on | number company top projects
Parker | served At | Amazon
Parker | spending | five years working on number of company 's top projects including Alexa
he | spent | 18 years
Parker | starting at | SmartThings
Parker | Now starting at | SmartThings
Parker says.Parker | has | plan
I | started | talking to Alex
I | started | talking
I | talking to | Alex
word Parker | keeps | coming
word Parker | keeps | coming back
we | talk about | SmartThings ' future
compatible products | provide | apps
products | provide | apps
products | provide | more information to its cloud
compatible products | provide | more information to its cloud
products | provide | information to its cloud
compatible products | provide | information to its cloud
Parker | says | referring
next step | is | sit there
step | is | sit
step | is | sit there
next step | is | sit
devices | come | work
devices | work for | consumer
I | want | see
us | be | leader
devices | come | work for consumer
company | build on top of | standards
SmartThings | ' | guardrails
company | build on top of | existing open standards
company | hopes | build
company | build on top of | existing standards
company | build on top of | open standards
SmartThings | will have | role play
SmartThings | will certainly have | role play there
SmartThings | will have | role play there
SmartThings | will certainly have | role play
Samsung | has | Developer Conference
SmartThings | will certainly have | role
SmartThings | will have | role
Samsung | integrate | SmartThings
it | make | part of IoT
it | has | promised
Samsung | integrate SmartThings with | its high-end TVs
Samsung | integrate SmartThings with | its TVs
SmartThings new strategy | roll | out.With Samsung
SmartThings strategy | roll out.With Samsung at | its back
SmartThings strategy | roll | out.With Samsung
SmartThings new strategy | roll out.With Samsung at | its back
its plans | speak to | broader threats in market
broader threats | is in | market
its plans | speak to | threats in market
its plans | speak to | threats
its plans | speak to | broader threats
Closed smart-home ecosystems | offer | experience
Closed smart-home ecosystems | offer | smoother experience
smart-home ecosystems | offer | smoother experience
smart-home ecosystems | offer | experience
SmartThings | intends | deal
ride-hail company | told | Verge
company | Uber as | vice president
ride-hail company | Uber as | vice president
Sherif Marakby | director of | global electronics
company | Uber as | vice president of global vehicle programs
ride-hail company | Uber as | vice president of global vehicle programs
company | Uber as | vice president of vehicle programs
Sherif Marakby | director at | Ford
company | told | Verge
company | told Verge at_time | Thursday
ride-hail company | Uber as | vice president of vehicle programs
ride-hail company | told Verge at_time | Thursday
Marakby | will relocate from | Detroit
Uber | is expanding | its Advanced Technologies Center.In Pittsburgh
fleet | is in | Germany
Uber | has | self-driving car program
vice president | is in | charge of mapping division
search giant | run | Uber 's self-driving car program
search giant | run | Uber 's car program
people | has | lives
technology | is | hard
McClendon | said in | statement
we | 're excited | have
we | 're | excited
Sherif | is | world expert
him | join | team
improve | quality of | life in cities
life | is in | cities
improve | quality of | life
Marakby | framed | his decision jump
Marakby | framed | his decision jump from auto industry
Marakby | framed | his decision
Marakby | framed | his decision jump from traditional auto industry
common cause | is in | US
improve | quality of | life in cities
life | is in | cities
improve | quality of | life
Uber 's team | is in | Pittsburgh
I | join | Uber 's team in Pittsburgh
Uber | has | team in Pittsburgh
engineers | join | car experts
engineers | join | self-driving car experts
engineers | join | its Pittsburgh operation
Google Maps product manager | jumped to | Uber 's mapping division
Google Maps product manager | jumped at_time | late year
Google Maps product manager | jumped at_time | year
Google Maps product manager | jumped at_time | last year
Google Maps product manager | jumped In addition to | McClendon
Uber | to | mapping division
Google Maps product manager | jumped at_time | late last year
it partnership | is with | University of Arizona
it | be | its own cars
it | be | its own cars in Phoenix
it | be | its cars in Phoenix
it | be | its self-driving cars in Phoenix
would its own self-driving cars | is in | Phoenix
it | be | its cars
it | be | its self-driving cars
it | be | its own self-driving cars
it | be | its own self-driving cars in Phoenix
I | set | foot
I | stash belongings in | locker
I | tried | Microsoft 's HoloLens headset
security guards | lined | walls of hotel
I | stash | belongings
Microsoft | has | HoloLens headset
security guards | lined | walls
I | even set | foot
I | set foot near | it
I | tried at_time | year
I | even set foot near | it
I | tried at_time | last year
I | stash | my belongings
someone | take | photo
someone | photo of | device
Microsoft | was | petrified
someone | take | photo of device
someone | deconstruct | it
Microsoft | is shipping HoloLens development editions to | app
Microsoft | is shipping | HoloLens development editions
it | has | ready
Microsoft | is now shipping HoloLens development editions to | app
Microsoft | is now shipping | HoloLens development editions
Microsoft | inside | HoloLens
I | got | chance look at exactly
I | got | chance look
company | supplied | me
I | got | chance
this | is | computer
this | is | self-contained
this | is | self-contained holographic computer
this | is | holographic
this | is | self-contained computer
this | is | holographic computer
years | refining | headset
I | hang PC around | my neck
I | used HoloLens at_time | year
I | hang | miniature PC
I | used HoloLens at_time | last year
I | used at_time | year
I | used in | January
I | hang | PC
I | used HoloLens in | January
I | used at_time | last year
I | used | HoloLens
It has come | is combination of | lenses
It has come | is combination of | holographic lenses
It | has come | long way
It has come | is | combination
see-through holographic lenses | of combination is | gaze
see-through holographic lenses | array of | sensors
It | has come | way
It has come | is combination of | see-through lenses
It has come | is combination of | see-through holographic lenses
It has come | is combination of | array
It | compare | it
it | feels | immersive as result
HoloLens | is trying | something different
it | feels | more immersive as result
Google | did with | its Glass project
It | has | tempting
it | feels | more immersive
it | feels | immersive
HoloLens | is trying | something
objects | is in | your living room
it | projects | holograms
I | played | Conker game
It | really felt at | times
It | really felt like | Conker
It | felt at | times
It | felt like | Conker
m | is with | me
it | looks like | camera from outside
it | looks like | regular camera
It | has | version
It | has | miniature
It | has | miniature version
It | has | essentially version
It | has | essentially miniature version
it | looks like | regular camera from outside
it | looks like | camera
It | is | engineered
Microsoft | has | Ori Amiga
It | designed by | Microsoft
camera works | is in | tandem with two environment understanding cameras on side of HoloLens
you | 're using around | themThe depth
they | capture | world
your walls | are | coffee table
These | look like | regular cameras
they | capture world around | you
These | also look like | regular cameras
These | look like | cameras
they | 're | used
These | also look like | cameras
it | has | fun way record
it | has | fun way
I | found | myself
fun | sharing | clips
lot | have | fun
sharing | clips to | Facebook
fun | sharing | clips to Facebook
holograms | are | projected
holograms | are | how projected
holograms | are projected into | your vision
This | is | just generation
This | is | just first generation
This | is | generation
holograms | are | how projected into your vision
This | is | first generation
HoloLens optics system | is | composed
Microsoft | refers to | them
it | has | easy
These | look like | regular glasses
you | pull | them
These | look like | glasses
HoloLens ' resolution | number of | points per radian for density
HoloLens ' resolution | number of | light points per radian for density
displays | measured in | pixels
HoloLens ' resolution | number of | points for density
HoloLens ' resolution | number of | light points per radian
HoloLens ' resolution | number of | points per radian
Microsoft | is counting | light points
HoloLens ' resolution | number of | light points
Microsoft | boost | HoloLens ' resolution
Microsoft | is counting | points
HoloLens ' resolution | number of | points
HoloLens ' resolution | number of | light points for density
radiants | mean | light points
more radiants | mean | light points
more radiants | Essentially mean | light points
radiants | Essentially mean | light points
I | 've used | HoloLens three times
I | 'm | convinced
I | 've used | HoloLens three times now
combination | have definitely made | holograms crisper.The holographic lenses
combination | have made | holograms crisper.The holographic lenses
holograms crisper.The lenses | combination of | hardware
combination | have definitely made | holograms crisper.The lenses
holograms crisper.The holographic lenses | combination of | hardware
combination | have made | holograms crisper.The lenses
device | has | field of view
it | has | optical
device | has | limited field
device | has | field
device | has | limited field of view
holograms | need | projected
holograms | be | projected
holograms | be projected into | your eyes
holograms | need | projected into your eyes
Microsoft | is using | transparent display
Microsoft | is using | display
you | move around | your pupil
you | move | your pupil
It | cover | your entire eye
It | 's challenge for | HoloLens
It | cover | your eye
It | 's still challenge for | HoloLens
It | has | still challenge
It | has | challenge
this | is just generation.Perhaps | its motherboard
this | is just first generation.Perhaps | its motherboard
this | is first generation.Perhaps | its motherboard
this | is generation.Perhaps | its motherboard
It | could take | years
it | has | Unlike gaming PC tiny for HoloLens
it | 's tiny Unlike | gaming PC
it | 's tiny Unlike | powerful gaming PC
it | has | Unlike powerful gaming PC tiny for HoloLens
it | has | tiny
it | 's tiny for | HoloLens
I | was surprised at | just small it
I | was surprised at | it
I | was surprised at | how small it
I | was surprised at | small it
I | was surprised at | just how small it
I | was | surprised
Microsoft | has packed | everything
CPU | are | all
CPU | all | Bluetooth chip
HPU | does | lot here
HPU | does so | lot of heavy lifting here
HPU | does | lot of lifting here
HPU | does | lot of heavy lifting
HPU | does so | lot of lifting here
HPU | does | lot
HPU | does so | lot here
HPU | does so | lot of lifting
HPU | does so | lot of heavy lifting
HPU | does | lot of heavy lifting here
HPU | does | lot of lifting
HPU | does so | lot
it | has | really meant
Microsoft custom | designed | HPU
you | can use | gestures
process | is in | real-time
it | has | meant
you | can use accurately | gestures
Microsoft | has packed bunch into | rear
Microsoft | has packed bunch into | rear of headset
Microsoft | has packed | bunch
They | look like | battery
they | 're | small
you | use | packs
They | look like | little battery
They | act as | way
They | also act as | way
it | be recharged via | Micro USB.One
it needs | is | spatial sound
it | be recharged via | Micro USB.One of final parts of HoloLens
it needs | is | sound
it | needs | recharged via Micro USB.One of parts of HoloLens
it | be | recharged
it | be recharged via | Micro USB.One of final parts
it | needs | recharged
it | needs | recharged via Micro USB.One of parts
it | needs | recharged via Micro USB.One
it | be recharged via | Micro USB.One of parts
it | needs | recharged via Micro USB.One of final parts of HoloLens
it | be recharged via | Micro USB.One of parts of HoloLens
it | needs | recharged via Micro USB.One of final parts
they | 're behind | you having
Apps | can take | advantage of this
they | 're behind | you
Apps | can take | advantage
I | 'm | surprised
you | 're wearing | headphones
it | irritate people in | room
it | hear | it
plug | is | impressive part
You | can adjust volume at | side
You | can adjust | volume
plug | is | part
it | has | likely
you | can wear on | your head
more breakthroughs | allow | time
It | took | Microsoft years
It | shrink | this
more breakthroughs | allow | time
breakthroughs | allow | time
breakthroughs | allow | time
It | took | Microsoft several years
Developers | will now shape | future of HoloLens software
Developers | will now shape | future
Developers | will shape | future
Developers | will shape | future of HoloLens software
it | 's future.Photos by | Vjeran Pavic Ticketmaster
it | has | future.Photos
apps | integrate | its ticket discovery
third-party apps | integrate | its ticket discovery
Ticketmaster | through | new portal
tools | are available through | Ticketmaster 's new portal
tools | are | available
tools | are available through | Ticketmaster 's portal
Ismail El Shareef | told | Verge
Ismail El Shareef | VP of | open platform
new partnerships | is with | big brands
we | are in | market work with
we | are in | market
we | are in | market work
users | purchase | tickets
developers | include | Ticketmaster 's lineup of events directly into their apps
developers | include | Ticketmaster 's lineup directly into their apps
developers | include | Ticketmaster 's lineup
users | purchase tickets through | apps
developers | include | Ticketmaster 's lineup of events
users | purchase tickets through | third-party apps
developers | include | Ticketmaster 's lineup into their apps
Ticketmaster | has | lineup of events directly into apps
developers | include | Ticketmaster 's lineup of events into their apps
Discovery | will allow | developers
Ticketmaster | has | transactional API
Ticketmaster | is also introducing | set
Ticketmaster | is introducing | set
Ticketmaster | is introducing | set allow
your tickets | make | purchase
Ticketmaster | has | APIs
your first transaction | is with | app using
you | manage | your tickets
API | was complicated for | developers
API | was designed for | use
API | was | designed
Fox Sports | are among | first partnersThe ticketing service
API | was | complicated
API | was designed for | internal use
Fox Sports | are among | partnersThe ticketing service
API | was complicated | understand
API | was complicated for | external developers
Ticketmaster | build | entirely new set from ground up
Ticketmaster | build | set
building | is in | more workarounds
Ticketmaster | build | set from ground
Ticketmaster | build | new set of APIs from ground
Ticketmaster | build | set of APIs from ground up
Ticketmaster | build | new set from ground up
Ticketmaster | build | new set
Ticketmaster | build | entirely new set of APIs from ground
Ticketmaster | build | new set from ground
Ticketmaster | build | entirely new set of APIs
Ticketmaster | build | entirely new set of APIs from ground up
eBay | president of | North America
Ticketmaster | has | president of North America
Ticketmaster | build | new set of APIs from ground up
Ticketmaster | build | new set of APIs
Ticketmaster | build | set from ground up
eBay | president 's | Ticketmaster
Ticketmaster | build | set of APIs from ground
Ticketmaster | build | entirely new set from ground
Ticketmaster | build | entirely new set
Ticketmaster | build | set of APIs
We | build | new capabilities
We | build | capabilities
today | in | economy
We | lot of | investment
platform | make | our core capabilities available
our core capabilities | available to | other
platform | make | our core capabilities available to other
Ticketmaster switching | is potentially deal for | apps focused
Ticketmaster | switching to | API
Ticketmaster switching | is potentially deal for | apps
Ticketmaster switching | is big deal for | apps
Ticketmaster switching | is potentially big deal for | apps focused on sports
Ticketmaster switching | is | big deal
Ticketmaster switching | is deal for | apps focused on sports
Ticketmaster switching | is deal for | apps focused
Ticketmaster switching | is deal for | apps
Ticketmaster switching | is | deal
Ticketmaster switching | is potentially big deal for | apps
Ticketmaster switching | is potentially deal for | apps focused on sports
Ticketmaster switching | is potentially big deal for | apps focused
Ticketmaster switching | is big deal for | apps focused on sports
Ticketmaster switching | is big deal for | apps focused
Ticketmaster switching | is | potentially deal
Ticketmaster | switching to | public API
Ticketmaster switching | is | potentially big deal
streaming services | achieve with | varied success
few streaming services | achieve with | varied success
few streaming services | achieve with | success
streaming services | achieve with | success
Apps | ticketing options for | major sports league
We | build | new capabilities
We | build | capabilities
Tidal | has partnered with | Ticketmaster
Pandora | spent | $ 450 million
Ticketmaster | of | key categories
Smith | told | me
different partners | is in | space
Twitter | could | could next
social networks | do | things like
Ticketmaster 's API | could allow | social networks like Twitter
Ticketmaster 's API | could allow | social networks
Ticketmaster | has | API
networks | do | things
networks | do | things like
Ticketmaster 's API | could allow | networks
Ticketmaster 's API | could allow | networks like Twitter
social networks | do | things
Smith | told | me
Travel | is | huge
I | book | stuff
I | book stuff at | once
I | 'm going on | vacation
We | taking | broad view
We | really taking | view
We | taking | view
